profile_id,baseline_account_id,segment_id,start_date,end_date,session_rows,strategy_opening_shares,baseline_opening_shares,relative_opening_shares,relative_price_pnl_cny,relative_execution_price_pnl_cny,relative_gross_dividend_entitlement_cny,relative_tax_effect_cny,relative_fee_effect_cny,relative_cash_yield_cny,relative_attributed_nav_change_cny,relative_actual_nav_change_cny,relative_identity_difference_cny,overweight_up_gain_cny,overweight_down_loss_cny,underweight_up_opportunity_loss_cny,underweight_down_avoided_loss_cny
P00,HD-BASE-001,HD-BASE-001-SEG-07,2024-02-08,2024-03-07,15,1200,1500,-300,-360.0,0.0,0.0,0.0,-6.47,0.0,-366.47,-366.47,0.0,0.0,0.0,765.0,405.0
P00,HD-BASE-001,HD-BASE-001-SEG-08,2024-03-08,2024-05-29,54,1100,1500,-400,-316.0,0.0,0.0,0.0,-6.5,0.0,-322.5,-322.5,0.0,0.0,0.0,1848.0,1532.0
P00,HD-BASE-001,HD-BASE-001-SEG-09,2024-05-30,2025-08-04,288,1000,1500,-500,-725.0,0.0,-881.5,0.0,-5.19,0.0,-1611.69,-1611.69,0.0,0.0,0.0,16605.0,15880.0
P00,HD-BASE-001,HD-BASE-001-SEG-10,2025-08-05,2025-09-09,26,1100,1500,-400,52.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,0.0,0.0,0.0,764.0,816.0
P00,HD-BASE-RM-001,HD-BASE-RM-001-SEG-01,2022-03-10,2022-05-30,53,1000,900,100,103.0,0.0,0.0,0.0,-5.19,0.0,97.81,97.81,0.0,835.0,732.0,0.0,0.0
P00,HD-BASE-RM-001,HD-BASE-RM-001-SEG-02,2022-05-31,2022-06-22,16,1100,900,200,-108.0,0.0,0.0,0.0,-5.18,0.0,-113.18,-113.18,0.0,454.0,562.0,0.0,0.0
P00,HD-BASE-RM-001,HD-BASE-RM-001-SEG-03,2022-06-23,2022-07-14,16,1200,900,300,498.0,0.0,0.0,0.0,-7.68,0.0,490.32,490.32,0.0,735.0,237.0,0.0,0.0
P00,HD-BASE-RM-001,HD-BASE-RM-001-SEG-04,2022-07-15,2022-08-25,30,1100,900,200,-254.0,0.0,163.06,-16.3,-5.18,0.0,-112.42,-112.42,0.0,506.0,760.0,0.0,0.0
P00,HD-BASE-RM-001,HD-BASE-RM-001-SEG-05,2022-08-26,2022-11-02,43,1200,900,300,-939.0,0.0,0.0,0.0,-5.16,0.0,-944.16,-944.16,0.0,768.0,1707.0,0.0,0.0
P00,HD-BASE-RM-001,HD-BASE-RM-001-SEG-06,2022-11-03,2024-02-07,311,1300,900,400,1696.0,0.0,341.32,16.3,-6.39,0.0,2047.23,2047.23,0.0,10472.0,8776.0,0.0,0.0
P00,HD-BASE-RM-001,HD-BASE-RM-001-SEG-07,2024-02-08,2024-03-07,15,1200,900,300,360.0,0.0,0.0,0.0,-6.47,0.0,353.53,353.53,0.0,765.0,405.0,0.0,0.0
P00,HD-BASE-RM-001,HD-BASE-RM-001-SEG-08,2024-03-08,2024-05-29,54,1100,900,200,158.0,0.0,0.0,0.0,-6.5,0.0,151.5,151.5,0.0,924.0,766.0,0.0,0.0
P00,HD-BASE-RM-001,HD-BASE-RM-001-SEG-09,2024-05-30,2025-08-04,288,1000,900,100,145.0,0.0,176.3,0.0,-5.19,0.0,316.11,316.11,0.0,3321.0,3176.0,0.0,0.0
P00,HD-BASE-RM-001,HD-BASE-RM-001-SEG-10,2025-08-05,2025-09-09,26,1100,900,200,-26.0,0.0,0.0,0.0,0.0,0.0,-26.0,-26.0,0.0,382.0,408.0,0.0,0.0
