record_id,symbol,fiscal_year,event_date,event_time_precision,approval_meeting_type,approval_meeting_name,announcement_date,announcement_time,announcement_time_precision,available_time,effective_time,expiry_time,superseded_time,expected_annual_dividend_per_share,currency,tax_basis,estimate_method,source,source_document,secondary_source,secondary_source_document,source_version,confidence,evidence_level,note
600900-PIT-FY2013,600900.SH,2013,2014-05-21,DATE,EXTRAORDINARY_GENERAL_MEETING,2014年第二次临时股东大会,2014-05-22,,DATE,2014-05-23 09:30:00+08:00,2014-05-23 09:30:00+08:00,2015-05-23 09:30:00+08:00,2015-06-05 09:30:00+08:00,0.28042,CNY,gross,SHAREHOLDER_MEETING_CONFIRMED_ANNUAL_DPS_V1,新浪财经临时股东大会决议公告镜像,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=1415570&stockid=600900,巨潮资讯权益分派实施公告,https://static.cninfo.com.cn/finalpage/2014-07-04/1200030090.pdf,v1,HIGH,A,2013年度利润分配由同日召开的2014年第二次临时股东大会而非年度股东大会审议通过
600900-PIT-FY2014,600900.SH,2014,2015-06-02,DATE,ANNUAL_GENERAL_MEETING,2014年年度股东大会,2015-06-04,,DATE,2015-06-05 09:30:00+08:00,2015-06-05 09:30:00+08:00,2016-06-04 09:30:00+08:00,2016-05-23 09:30:00+08:00,0.3791,CNY,gross,SHAREHOLDER_MEETING_CONFIRMED_ANNUAL_DPS_V1,巨潮资讯权益分派实施公告,https://static.cninfo.com.cn/finalpage/2015-06-20/1201175486.PDF,新浪财经分红配股表,https://money.finance.sina.com.cn/corp/go.php/vISSUE_ShareBonus/stockid/600900.phtml,v1,HIGH,A,实施公告明确年度股东大会日期与决议公告日期
600900-PIT-FY2015,600900.SH,2015,2016-05-20,DATE,ANNUAL_GENERAL_MEETING,2015年年度股东大会,2016-05-21,,DATE,2016-05-23 09:30:00+08:00,2016-05-23 09:30:00+08:00,2017-05-23 09:30:00+08:00,2017-05-22 09:30:00+08:00,0.4,CNY,gross,SHAREHOLDER_MEETING_CONFIRMED_ANNUAL_DPS_V1,新浪财经长江电力2016年年度报告镜像,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=3365136&stockid=600900,搜狐财经公告索引,https://q.stock.sohu.com/cn/600900/gsgg_32.shtml,v1,MEDIUM,B,普通二级市场持有人税前DPS；差异化分红口径见候选金额证据表
600900-PIT-FY2016,600900.SH,2016,2017-05-19,DATE,ANNUAL_GENERAL_MEETING,2016年年度股东大会,2017-05-20,,DATE,2017-05-22 09:30:00+08:00,2017-05-22 09:30:00+08:00,2018-05-22 09:30:00+08:00,2018-05-21 09:30:00+08:00,0.725,CNY,gross,SHAREHOLDER_MEETING_CONFIRMED_ANNUAL_DPS_V1,巨潮资讯权益分派实施公告,https://static.cninfo.com.cn/finalpage/2017-07-10/1203690729.PDF,新浪财经权益分派实施公告镜像,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=3548985&stockid=600900,v1,HIGH,A,普通二级市场持有人税前DPS；差异化分红口径由实施公告确认
600900-PIT-FY2017,600900.SH,2017,2018-05-18,DATE,ANNUAL_GENERAL_MEETING,2017年年度股东大会,2018-05-19,,DATE,2018-05-21 09:30:00+08:00,2018-05-21 09:30:00+08:00,2019-05-21 09:30:00+08:00,2019-05-27 09:30:00+08:00,0.68,CNY,gross,SHAREHOLDER_MEETING_CONFIRMED_ANNUAL_DPS_V1,长江电力2018年半年度报告,https://static.cninfo.com.cn/finalpage/2018-08-30/1205357569.PDF,新浪财经分红配股表,https://money.finance.sina.com.cn/corp/go.php/vISSUE_ShareBonus/stockid/600900.phtml,v1,HIGH,A,半年度报告的股东大会决议表与分红实施数据交叉核验
600900-PIT-FY2018,600900.SH,2018,2019-05-23,DATE,ANNUAL_GENERAL_MEETING,2018年年度股东大会,2019-05-24,,DATE,2019-05-27 09:30:00+08:00,2019-05-27 09:30:00+08:00,2020-05-26 09:30:00+08:00,2020-05-25 09:30:00+08:00,0.68,CNY,gross,SHAREHOLDER_MEETING_CONFIRMED_ANNUAL_DPS_V1,长江电力股东大会决议公告,https://www.cypc.com.cn/eportal/fileDir/cypcweb/cypc/accessory/20190606172026.pdf,搜狐财经公司大事,https://q.stock.sohu.com/cn/600900/bw_38.shtml,v1,HIGH,A,公司公告与历史公司大事交叉核验
600900-PIT-FY2019,600900.SH,2019,2020-05-21,DATE,ANNUAL_GENERAL_MEETING,2019年年度股东大会,2020-05-22,,DATE,2020-05-25 09:30:00+08:00,2020-05-25 09:30:00+08:00,2021-05-25 09:30:00+08:00,2021-06-02 09:30:00+08:00,0.68,CNY,gross,SHAREHOLDER_MEETING_CONFIRMED_ANNUAL_DPS_V1,巨潮资讯股东大会决议公告,https://static.cninfo.com.cn/finalpage/2020-05-22/1207844538.PDF,搜狐财经公司大事,https://q.stock.sohu.com/cn/600900/bw_42.shtml,v1,HIGH,A,原始决议公告与历史公司大事交叉核验
600900-PIT-FY2020,600900.SH,2020,2021-05-31,DATE,ANNUAL_GENERAL_MEETING,2020年年度股东大会,2021-06-01,,DATE,2021-06-02 09:30:00+08:00,2021-06-02 09:30:00+08:00,2022-06-02 09:30:00+08:00,2022-05-27 09:30:00+08:00,0.7,CNY,gross,SHAREHOLDER_MEETING_CONFIRMED_ANNUAL_DPS_V1,新浪财经股东大会决议公告镜像,https://gu.sina.cn/bd/hq/notice.php?annid=15937926,搜狐财经公告索引,https://q.stock.sohu.com/cn/600900/bw_45.shtml,v1,HIGH,A,决议公告镜像与上交所公告索引交叉核验
600900-PIT-FY2021,600900.SH,2021,2022-05-25,DATE,ANNUAL_GENERAL_MEETING,2021年年度股东大会,2022-05-26,,DATE,2022-05-27 09:30:00+08:00,2022-05-27 09:30:00+08:00,2023-05-27 09:30:00+08:00,2023-05-25 09:30:00+08:00,0.8153,CNY,gross,SHAREHOLDER_MEETING_CONFIRMED_ANNUAL_DPS_V1,长江电力2022年年度报告镜像,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=9137305&stockid=600900,理杏仁股东大会公告索引,https://www.lixinger.com/equity/company/detail/sh/600900/600900/announcement?type=shm,v1,HIGH,A,年度报告股东大会决议表与独立公告索引交叉核验
600900-PIT-FY2022,600900.SH,2022,2023-05-23,DATE,ANNUAL_GENERAL_MEETING,2022年年度股东大会,2023-05-24,,DATE,2023-05-25 09:30:00+08:00,2023-05-25 09:30:00+08:00,2024-05-24 09:30:00+08:00,2024-05-27 09:30:00+08:00,0.8533,CNY,gross,SHAREHOLDER_MEETING_CONFIRMED_ANNUAL_DPS_V1,新浪财经股东大会决议公告镜像,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=9243352&stockid=600900,上交所长江电力2023年年度报告,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2024-04-30/600900_20240430_MEWP.pdf,v1,HIGH,A,普通参与分配股份税前DPS；差异化分红口径由方案和实施公告另行确认
600900-PIT-FY2023,600900.SH,2023,2024-05-23,DATE,ANNUAL_GENERAL_MEETING,2023年年度股东大会,2024-05-24,,DATE,2024-05-27 09:30:00+08:00,2024-05-27 09:30:00+08:00,2025-05-27 09:30:00+08:00,2025-05-26 09:30:00+08:00,0.82,CNY,gross,SHAREHOLDER_MEETING_CONFIRMED_ANNUAL_DPS_V1,上交所股东大会决议公告,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2024-05-24/600900_20240524_K4JX.pdf,新浪财经股东大会会议资料镜像,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10202871&stockid=600900,v1,HIGH,A,上交所原始决议公告与会议资料交叉核验
600900-PIT-FY2024,600900.SH,2024,2025-05-22,DATE,ANNUAL_GENERAL_MEETING,2024年年度股东大会,2025-05-23,,DATE,2025-05-26 09:30:00+08:00,2025-05-26 09:30:00+08:00,2026-05-26 09:30:00+08:00,2026-05-25 09:30:00+08:00,0.943,CNY,gross,SHAREHOLDER_MEETING_CONFIRMED_ANNUAL_DPS_V1,上交所股东大会决议公告,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-05-23/600900_20250523_6X1V.pdf,新浪财经股东大会决议公告镜像,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=11135912&stockid=600900,v1,HIGH,A,完整年度DPS包含0.21元中期与0.733元末期；不得重复加总
600900-PIT-FY2025,600900.SH,2025,2026-05-21,DATE,ANNUAL_GENERAL_MEETING,2025年年度股东大会,2026-05-22,,DATE,2026-05-25 09:30:00+08:00,2026-05-25 09:30:00+08:00,2027-05-25 09:30:00+08:00,,1.0,CNY,gross,SHAREHOLDER_MEETING_CONFIRMED_ANNUAL_DPS_V1,新浪财经股东大会决议公告镜像,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12343569&stockid=600900,搜狐财经公司大事,https://q.stock.sohu.com/cn/600900/bw.shtml,v1,HIGH,A,完整年度DPS包含0.21元中期与0.79元末期；不得重复加总
