fee_type,market,effective_start,effective_end,charge_side,rate_basis,rate_decimal,minimum_cny_per_parent_order,commission_interaction,source_kind,evidence_level,source_document,version,note
TRANSFER_FEE,SSE_A_SHARE,2022-04-29,,BOTH,transaction_amount,0.00001,,ADD_SEPARATELY,official,A,research/topics/A股交易税费历史版本表_截至2026-09-09.md,A_SHARE_COST_SCHEDULE_V2_20260910,
HANDLING_FEE,SSE_A_SHARE,2000-01-01,2002-12-31,BOTH,transaction_amount,0.000105,,ADD_SEPARATELY,official_history,B,research/topics/A股交易税费历史版本表_截至2026-09-09.md,A_SHARE_COST_SCHEDULE_V2_20260910,P21 historical rate; before 600900 listing
HANDLING_FEE,SSE_A_SHARE,2003-01-01,2012-05-31,BOTH,transaction_amount,0.000110,,ADD_SEPARATELY,derived_from_official_documents,B,research/topics/A股交易税费历史版本表_截至2026-09-09.md,A_SHARE_COST_SCHEDULE_V2_20260910,P21 0.105 per mille plus P22 0.005 per mille from 2003-01-01; P8 confirms 0.11 per mille immediately before 2012-06-01; continuity between confirmed endpoints is an assumption
HANDLING_FEE,SSE_A_SHARE,2012-06-01,2012-08-31,BOTH,transaction_amount,0.000087,,ADD_SEPARATELY,official,A,research/topics/A股交易税费历史版本表_截至2026-09-09.md,A_SHARE_COST_SCHEDULE_V2_20260910,
HANDLING_FEE,SSE_A_SHARE,2012-09-01,2015-07-31,BOTH,transaction_amount,0.0000696,,ADD_SEPARATELY,official,A,research/topics/A股交易税费历史版本表_截至2026-09-09.md,A_SHARE_COST_SCHEDULE_V2_20260910,
HANDLING_FEE,SSE_A_SHARE,2015-08-01,2023-08-27,BOTH,transaction_amount,0.0000487,,ADD_SEPARATELY,official,A,research/topics/A股交易税费历史版本表_截至2026-09-09.md,A_SHARE_COST_SCHEDULE_V2_20260910,SSE 2023 adjustment notice explicitly identifies this prior standard
HANDLING_FEE,SSE_A_SHARE,2023-08-28,,BOTH,transaction_amount,0.0000341,,ADD_SEPARATELY,official,A,research/topics/A股交易税费历史版本表_截至2026-09-09.md,A_SHARE_COST_SCHEDULE_V2_20260910,
REGULATORY_FEE,SSE_A_SHARE,1997-10-28,1999-12-31,BOTH,transaction_amount,0.00002,,ADD_SEPARATELY,official_history,B,research/topics/A股交易税费历史版本表_截至2026-09-09.md,A_SHARE_COST_SCHEDULE_V2_20260910,Before 600900 listing
REGULATORY_FEE,SSE_A_SHARE,2000-01-01,2002-12-31,BOTH,transaction_amount,0.000045,,ADD_SEPARATELY,official_history,B,research/topics/A股交易税费历史版本表_截至2026-09-09.md,A_SHARE_COST_SCHEDULE_V2_20260910,P21; before 600900 listing
REGULATORY_FEE,SSE_A_SHARE,2003-01-01,2011-12-31,BOTH,transaction_amount,0.00004,,ADD_SEPARATELY,official_history,A,research/topics/A股交易税费历史版本表_截至2026-09-09.md,A_SHARE_COST_SCHEDULE_V2_20260910,P22 effective 2003-01-01
REGULATORY_FEE,SSE_A_SHARE,2012-01-01,,BOTH,transaction_amount,0.00002,,ADD_SEPARATELY,official,A,research/topics/A股交易税费历史版本表_截至2026-09-09.md,A_SHARE_COST_SCHEDULE_V2_20260910,
BROKER_COMMISSION,SSE_A_SHARE,2003-11-18,,BOTH,transaction_amount,0.0001,5,BROKER_BASE,preregistered_assumption,C,research/topics/A股交易税费历史版本表_截至2026-09-09.md,A_SHARE_COST_SCHEDULE_V2_20260910,Minimum CNY 5 per parent order; modeled separately from statutory fees

