"数据日期","行情口径","证券代码","行情代码","股票名称","交易所","防守类别","行业范围","防守层级","低波动防守适配","收盘价元","涨跌额元","涨跌幅百分比","换手率百分比","总市值亿元","分层依据","防守逻辑","主要风险","交叉核验","行情时间","主行情来源","复核来源","筛选口径"
"2026-09-11","收盘","600021","SH600021","上海电力","上海证券交易所","必需公用服务","公用事业","核心防守","较高","13.88","0.13","0.94","1.89","391.68","成熟大市值或基础设施龙头，且当日交易特征相对温和","电力、燃气、供热等需求相对刚性，部分资产现金流和分红稳定","电价机制、燃料成本、来水来风、资本开支及新能源题材波动","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_gysy&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh600021","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","600023","SH600023","浙能电力","上海证券交易所","必需公用服务","公用事业","核心防守","较高","5.02","0.04","0.8","0.38","673.12","成熟大市值或基础设施龙头，且当日交易特征相对温和","电力、燃气、供热等需求相对刚性，部分资产现金流和分红稳定","电价机制、燃料成本、来水来风、资本开支及新能源题材波动","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_gysy&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh600023","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","001286","SZ001286","陕西能源","深圳证券交易所","必需公用服务","公用事业","核心防守","较高","9.76","0.07","0.72","2.83","366","成熟大市值或基础设施龙头，且当日交易特征相对温和","电力、燃气、供热等需求相对刚性，部分资产现金流和分红稳定","电价机制、燃料成本、来水来风、资本开支及新能源题材波动","一致（收盘价/涨幅/换手/总市值）","20260911161454","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_gysy&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sz001286","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","003816","SZ003816","中国广核","深圳证券交易所","必需公用服务","公用事业","核心防守","较高","4.33","0.02","0.46","0.32","2186.6","成熟大市值或基础设施龙头，且当日交易特征相对温和","电力、燃气、供热等需求相对刚性，部分资产现金流和分红稳定","电价机制、燃料成本、来水来风、资本开支及新能源题材波动","一致（收盘价/涨幅/换手/总市值）","20260911161418","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_gysy&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sz003816","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","600483","SH600483","福能股份","上海证券交易所","必需公用服务","公用事业","核心防守","较高","11.08","0.02","0.18","0.61","308.04","成熟大市值或基础设施龙头，且当日交易特征相对温和","电力、燃气、供热等需求相对刚性，部分资产现金流和分红稳定","电价机制、燃料成本、来水来风、资本开支及新能源题材波动","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_gysy&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh600483","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","601728","SH601728","中国电信","上海证券交易所","基础通信服务","通信服务","核心防守","较高","6.29","0.1","1.62","0.19","5755.8","成熟大市值或基础设施龙头，且当日交易特征相对温和","基础通信需求和订阅现金流稳定，三大运营商兼具规模与分红属性","资本开支、资费竞争、技术迭代；非运营商个股可能高波动","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw2_730100&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh601728","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","600941","SH600941","中国移动","上海证券交易所","基础通信服务","通信服务","核心防守","较高","97.72","0.55","0.57","0.98","21196.38","成熟大市值或基础设施龙头，且当日交易特征相对温和","基础通信需求和订阅现金流稳定，三大运营商兼具规模与分红属性","资本开支、资费竞争、技术迭代；非运营商个股可能高波动","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw2_730100&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh600941","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","600050","SH600050","中国联通","上海证券交易所","基础通信服务","通信服务","核心防守","较高","4.21","0.01","0.24","0.55","1316.23","成熟大市值或基础设施龙头，且当日交易特征相对温和","基础通信需求和订阅现金流稳定，三大运营商兼具规模与分红属性","资本开支、资费竞争、技术迭代；非运营商个股可能高波动","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw2_730100&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh600050","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","000429","SZ000429","粤高速Ａ","深圳证券交易所","交通基础设施","铁路公路","核心防守","较高","12.64","0.06","0.48","1.19","264.28","成熟大市值或基础设施龙头，且当日交易特征相对温和","收费公路和铁路资产具有持续通行需求，成熟项目现金流可预测性较强","车流量、收费政策、扩建资本开支和债务成本","一致（收盘价/涨幅/换手/总市值）","20260911161439","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw2_420900&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sz000429","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","001965","SZ001965","招商公路","深圳证券交易所","交通基础设施","铁路公路","核心防守","较高","9.8","0.04","0.41","0.18","665.92","成熟大市值或基础设施龙头，且当日交易特征相对温和","收费公路和铁路资产具有持续通行需求，成熟项目现金流可预测性较强","车流量、收费政策、扩建资本开支和债务成本","一致（收盘价/涨幅/换手/总市值）","20260911161451","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw2_420900&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sz001965","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","600350","SH600350","山东高速","上海证券交易所","交通基础设施","铁路公路","核心防守","较高","10.15","0.03","0.3","0.38","490.71","成熟大市值或基础设施龙头，且当日交易特征相对温和","收费公路和铁路资产具有持续通行需求，成熟项目现金流可预测性较强","车流量、收费政策、扩建资本开支和债务成本","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw2_420900&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh600350","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","603288","SH603288","海天味业","上海证券交易所","必选消费","食品饮料","核心防守","较高","34.18","0.28","0.83","0.27","1999.89","成熟大市值或基础设施龙头，且当日交易特征相对温和","食品、乳品和调味品具备重复消费特征，需求波动通常低于可选消费","消费疲弱、原料成本、渠道库存、品牌竞争及估值回撤","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_spyl&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh603288","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","600887","SH600887","伊利股份","上海证券交易所","必选消费","食品饮料","核心防守","较高","26.66","0.12","0.45","0.77","1686.34","成熟大市值或基础设施龙头，且当日交易特征相对温和","食品、乳品和调味品具备重复消费特征，需求波动通常低于可选消费","消费疲弱、原料成本、渠道库存、品牌竞争及估值回撤","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_spyl&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh600887","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","600298","SH600298","安琪酵母","上海证券交易所","必选消费","食品饮料","核心防守","较高","41.09","0.06","0.15","0.85","356.59","成熟大市值或基础设施龙头，且当日交易特征相对温和","食品、乳品和调味品具备重复消费特征，需求波动通常低于可选消费","消费疲弱、原料成本、渠道库存、品牌竞争及估值回撤","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_spyl&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh600298","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","600016","SH600016","民生银行","上海证券交易所","高股息金融","银行","一般防守","中等","3.7","0.05","1.37","1.16","1619.95","行业需求相对稳定，但公司规模、盈利稳定性或股价波动弱于核心标的","存贷与支付等基础金融需求稳定，成熟银行通常具备较高股息和较低估值","净息差收窄、资产质量、地产及地方债暴露、分红变化","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_yx&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh600016","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","600982","SH600982","宁波能源","上海证券交易所","必需公用服务","公用事业","一般防守","中等","5.23","0.18","3.56","7.05","58.45","行业需求相对稳定，但公司规模、盈利稳定性或股价波动弱于核心标的","电力、燃气、供热等需求相对刚性，部分资产现金流和分红稳定","电价机制、燃料成本、来水来风、资本开支及新能源题材波动","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_gysy&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh600982","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","003035","SZ003035","南网能源","深圳证券交易所","必需公用服务","公用事业","一般防守","中等","5.98","0.18","3.1","2.63","226.52","行业需求相对稳定，但公司规模、盈利稳定性或股价波动弱于核心标的","电力、燃气、供热等需求相对刚性，部分资产现金流和分红稳定","电价机制、燃料成本、来水来风、资本开支及新能源题材波动","一致（收盘价/涨幅/换手/总市值）","20260911161412","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_gysy&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sz003035","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","600163","SH600163","中闽能源","上海证券交易所","必需公用服务","公用事业","一般防守","中等","5.54","0.09","1.65","3.84","105.43","行业需求相对稳定，但公司规模、盈利稳定性或股价波动弱于核心标的","电力、燃气、供热等需求相对刚性，部分资产现金流和分红稳定","电价机制、燃料成本、来水来风、资本开支及新能源题材波动","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_gysy&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh600163","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","000862","SZ000862","银星能源","深圳证券交易所","必需公用服务","公用事业","一般防守","中等","5.62","0.08","1.44","6.54","51.59","行业需求相对稳定，但公司规模、盈利稳定性或股价波动弱于核心标的","电力、燃气、供热等需求相对刚性，部分资产现金流和分红稳定","电价机制、燃料成本、来水来风、资本开支及新能源题材波动","一致（收盘价/涨幅/换手/总市值）","20260911161403","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_gysy&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sz000862","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","000595","SZ000595","新能股份","深圳证券交易所","必需公用服务","公用事业","一般防守","中等","5.55","0.07","1.28","2.4","63.2","行业需求相对稳定，但公司规模、盈利稳定性或股价波动弱于核心标的","电力、燃气、供热等需求相对刚性，部分资产现金流和分红稳定","电价机制、燃料成本、来水来风、资本开支及新能源题材波动","一致（收盘价/涨幅/换手/总市值）","20260911161442","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_gysy&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sz000595","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","600979","SH600979","广安爱众","上海证券交易所","必需公用服务","公用事业","一般防守","中等","4.15","0.05","1.22","6.49","51.93","行业需求相对稳定，但公司规模、盈利稳定性或股价波动弱于核心标的","电力、燃气、供热等需求相对刚性，部分资产现金流和分红稳定","电价机制、燃料成本、来水来风、资本开支及新能源题材波动","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_gysy&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh600979","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","000531","SZ000531","穗恒运Ａ","深圳证券交易所","必需公用服务","公用事业","一般防守","中等","5.86","0.06","1.03","1.7","61.03","行业需求相对稳定，但公司规模、盈利稳定性或股价波动弱于核心标的","电力、燃气、供热等需求相对刚性，部分资产现金流和分红稳定","电价机制、燃料成本、来水来风、资本开支及新能源题材波动","一致（收盘价/涨幅/换手/总市值）","20260911161448","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_gysy&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sz000531","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","000791","SZ000791","甘肃能源","深圳证券交易所","必需公用服务","公用事业","一般防守","中等","7.44","0.07","0.95","1.99","241.34","行业需求相对稳定，但公司规模、盈利稳定性或股价波动弱于核心标的","电力、燃气、供热等需求相对刚性，部分资产现金流和分红稳定","电价机制、燃料成本、来水来风、资本开支及新能源题材波动","一致（收盘价/涨幅/换手/总市值）","20260911161454","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_gysy&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sz000791","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","300125","SZ300125","聆达股份","深圳证券交易所","必需公用服务","公用事业","一般防守","中等","9.41","0.08","0.86","3.04","62.66","行业需求相对稳定，但公司规模、盈利稳定性或股价波动弱于核心标的","电力、燃气、供热等需求相对刚性，部分资产现金流和分红稳定","电价机制、燃料成本、来水来风、资本开支及新能源题材波动","一致（收盘价/涨幅/换手/总市值）","20260911161448","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_gysy&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sz300125","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","600868","SH600868","梅雁吉祥","上海证券交易所","必需公用服务","公用事业","一般防守","中等","2.9","0.01","0.35","3.44","55.05","行业需求相对稳定，但公司规模、盈利稳定性或股价波动弱于核心标的","电力、燃气、供热等需求相对刚性，部分资产现金流和分红稳定","电价机制、燃料成本、来水来风、资本开支及新能源题材波动","一致（收盘价/涨幅/换手/总市值）","20260911161500","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_gysy&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sh600868","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
"2026-09-11","收盘","000966","SZ000966","长源电力","深圳证券交易所","必需公用服务","公用事业","一般防守","中等","4.18","0.01","0.24","1.84","145.51","行业需求相对稳定，但公司规模、盈利稳定性或股价波动弱于核心标的","电力、燃气、供热等需求相对刚性，部分资产现金流和分红稳定","电价机制、燃料成本、来水来风、资本开支及新能源题材波动","一致（收盘价/涨幅/换手/总市值）","20260911161412","https://vip.stock.finance.sina.com.cn/quotes_service/api/json_v2.php/Market_Center.getHQNodeData?page=1&num=100&sort=changepercent&asc=0&node=sw_gysy&symbol=&_s_r_a=init","https://qt.gtimg.cn/q=sz000966","收盘涨幅>0；覆盖银行、公用事业、医药生物、食品饮料、通信服务、铁路公路和个护用品；剔除ST及退市标的；按规模与当日涨幅、换手分层"
